,disease,inform_slots
214,Carcinoid syndrome,"['involuntary urination', 'nailbiting', 'loss of sex drive', 'itchy eyelid', 'neck cramps or spasms','wrist weakness', 'joint stiffness or tightness']"
215,Carcinoid syndrome,"['itchy eyelid', 'wrist weakness', 'joint stiffness or tightness', 'nailbiting','knee lump or mass', 'involuntary urination']"
216,Carcinoid syndrome,"['joint stiffness or tightness', 'excessive growth', 'eye strain', 'loss of sex drive', 'vulvar sore','involuntary urination', 'knee lump or mass']"
217,Carcinoid syndrome,"['involuntary urination', 'loss of sex drive', 'itchy eyelid', 'knee lump or mass', 'shoulder swelling', 'vulvar sore','excessive growth', 'eye strain']"
218,Graves disease,"['fatigue', 'involuntary urination', 'dizziness', 'muscle cramps, contractures, or spasms','hemoptysis', 'abnormal involuntary movements']"
219,Graves disease,"['muscle cramps, contractures, or spasms', 'fatigue', 'abnormal involuntary movements', 'sweating', 'palpitations','dizziness', 'involuntary urination']"
220,Graves disease,"['sweating', 'foot or toe swelling', 'palpitations', 'fatigue','involuntary urination', 'dizziness']"
221,Graves disease,"['foot or toe swelling', 'dizziness', 'sweating', 'muscle cramps, contractures, or spasms', 'involuntary urination', 'palpitations','abnormal involuntary movements', 'fatigue']"
222,Graves disease,"['fatigue', 'irregular heartbeat', 'weight gain', 'leg cramps or spasms', 'dizziness', 'sweating','abnormal involuntary movements', 'palpitations']"
223,Graves disease,"['dizziness', 'palpitations', 'foot or toe swelling', 'sweating', 'irregular heartbeat', 'leg cramps or spasms','fatigue', 'involuntary urination']"
224,Graves disease,"['involuntary urination', 'dizziness', 'fatigue', 'leg cramps or spasms', 'muscle cramps, contractures, or spasms', 'hemoptysis','palpitations', 'weight gain']"
225,Graves disease,"['dizziness', 'weight gain', 'abnormal involuntary movements', 'hemoptysis', 'fatigue','muscle cramps, contractures, or spasms', 'irregular heartbeat']"
226,Graves disease,"['hemoptysis', 'muscle cramps, contractures, or spasms', 'involuntary urination', 'leg cramps or spasms','palpitations', 'dizziness']"
227,Graves disease,"['foot or toe swelling', 'sweating', 'abnormal involuntary movements', 'weight gain', 'palpitations','dizziness', 'fatigue']"
228,Graves disease,"['dizziness', 'palpitations', 'muscle cramps, contractures, or spasms', 'fatigue', 'abnormal involuntary movements', 'weight gain','sweating', 'leg cramps or spasms']"
229,Cushing syndrome,"['weight gain', 'infrequent menstruation', 'decreased heart rate', 'low back weakness','bladder mass', 'shoulder pain']"
231,Cushing syndrome,"['bladder mass', 'decreased heart rate', 'elbow weakness', 'shoulder pain', 'nailbiting','weight gain', 'infrequent menstruation']"
232,Cushing syndrome,"['elbow cramps or spasms', 'bladder mass', 'weight gain', 'shoulder pain','infrequent menstruation', 'decreased heart rate']"
233,Cushing syndrome,"['low back weakness', 'decreased heart rate', 'weight gain', 'infrequent menstruation', 'emotional symptoms', 'muscle swelling','shoulder pain', 'elbow cramps or spasms']"
234,Cushing syndrome,"['decreased heart rate', 'elbow cramps or spasms', 'muscle swelling', 'infrequent menstruation', 'nailbiting', 'shoulder pain','emotional symptoms', 'weight gain']"
235,Cushing syndrome,"['nailbiting', 'weight gain', 'bladder mass', 'decreased heart rate', 'itching of scrotum', 'shoulder pain','elbow weakness', 'low back weakness']"
236,Cushing syndrome,"['muscle swelling', 'decreased heart rate', 'shoulder pain', 'nailbiting', 'low back weakness', 'bladder mass','weight gain', 'elbow weakness']"
237,Cushing syndrome,"['decreased heart rate', 'shoulder pain', 'muscle swelling', 'bladder mass', 'weight gain','low back weakness', 'elbow cramps or spasms']"
238,Cushing syndrome,"['bladder mass', 'low back weakness', 'muscle swelling', 'nailbiting','weight gain', 'decreased heart rate']"
239,Cushing syndrome,"['low back weakness', 'weight gain', 'elbow weakness', 'emotional symptoms', 'elbow cramps or spasms','decreased heart rate', 'shoulder pain']"
240,Cushing syndrome,"['decreased heart rate', 'weight gain', 'bladder mass', 'nailbiting', 'shoulder pain', 'elbow weakness','emotional symptoms', 'muscle swelling']"
241,Cushing syndrome,"['low back weakness', 'shoulder pain', 'emotional symptoms', 'muscle swelling', 'weight gain', 'elbow weakness','decreased heart rate', 'infrequent menstruation']"
242,Cystic Fibrosis,"['feeling ill', 'cough', 'drainage in throat','muscle pain', 'decreased appetite']"
244,Cystic Fibrosis,"['hemoptysis', 'decreased appetite', 'drainage in throat', 'feeling ill','cough', 'muscle pain']"
245,Cystic Fibrosis,"['decreased appetite', 'cough', 'drainage in throat','feeling ill', 'hemoptysis']"
246,Cystic Fibrosis,"['drainage in throat', 'intermenstrual bleeding', 'feeling ill', 'cough', 'decreased appetite','muscle pain', 'bleeding gums']"
247,Cystic Fibrosis,"['cough', 'spots or clouds in vision', 'hemoptysis', 'intermenstrual bleeding', 'bleeding gums','feeling ill', 'drainage in throat']"
248,Cystic Fibrosis,"['drainage in throat', 'feeling ill', 'hemoptysis', 'decreased appetite', 'sinus congestion','cough', 'intermenstrual bleeding']"
249,Cystic Fibrosis,"['drainage in throat', 'cough', 'decreased appetite', 'feeling ill','intermenstrual bleeding', 'spots or clouds in vision']"
250,Cystic Fibrosis,"['decreased appetite', 'cough', 'intermenstrual bleeding','hemoptysis', 'feeling ill']"
251,Cystic Fibrosis,"['drainage in throat', 'cough', 'decreased appetite','intermenstrual bleeding', 'feeling ill']"
253,Cystic Fibrosis,"['hemoptysis', 'cough', 'drainage in throat', 'sinus congestion','decreased appetite', 'feeling ill']"
254,Cystic Fibrosis,"['intermenstrual bleeding', 'cough', 'spots or clouds in vision', 'hemoptysis', 'decreased appetite','drainage in throat', 'feeling ill']"
256,Conversion disorder,"['depression', 'fatigue', 'seizures', 'focal weakness','fainting', 'anxiety and nervousness']"
257,Conversion disorder,"['fainting', 'depression', 'anxiety and nervousness', 'weakness', 'sweating','seizures', 'cough']"
258,Conversion disorder,"['allergic reaction', 'focal weakness', 'weakness', 'sweating','fatigue', 'seizures']"
259,Conversion disorder,"['focal weakness', 'seizures', 'weakness', 'fainting', 'cough', 'allergic reaction','sore throat', 'sweating']"
260,Conversion disorder,"['weakness', 'sweating', 'anxiety and nervousness', 'abnormal involuntary movements', 'seizures', 'sore throat','depression', 'allergic reaction']"
261,Conversion disorder,"['seizures', 'weakness', 'focal weakness', 'sore throat', 'anxiety and nervousness', 'abnormal involuntary movements','sweating', 'cough']"
262,Conversion disorder,"['cough', 'seizures', 'depression', 'abnormal involuntary movements', 'focal weakness', 'fainting','allergic reaction', 'sore throat']"
264,Conversion disorder,"['seizures', 'abnormal involuntary movements', 'sore throat', 'fainting', 'depression','focal weakness', 'cough']"
265,Conversion disorder,"['fainting', 'focal weakness', 'cough', 'abnormal involuntary movements','allergic reaction', 'seizures']"
266,Conversion disorder,"['cough', 'sore throat', 'anxiety and nervousness', 'weakness', 'allergic reaction','seizures', 'depression']"
268,Conversion disorder,"['seizures', 'weakness', 'fainting', 'depression', 'anxiety and nervousness', 'allergic reaction','abnormal involuntary movements', 'sore throat']"
269,Chronic pain disorder,"['low back pain', 'knee pain', 'back pain', 'hip pain','lower body pain', 'headache']"
271,Chronic pain disorder,"['hip pain', 'low back pain', 'headache', 'leg pain', 'ache all over','back pain', 'knee pain']"
272,Chronic pain disorder,"['low back pain', 'hip pain', 'leg pain', 'ache all over','shoulder pain', 'back pain']"
273,Chronic pain disorder,"['shoulder pain', 'back pain', 'leg pain', 'hip pain', 'knee pain', 'ache all over','neck pain', 'low back pain']"
274,Chronic pain disorder,"['leg pain', 'shoulder pain', 'headache', 'sharp abdominal pain', 'back pain', 'neck pain','low back pain', 'ache all over']"
275,Chronic pain disorder,"['back pain', 'leg pain', 'hip pain', 'neck pain', 'headache', 'sharp abdominal pain','low back pain', 'knee pain']"
276,Chronic pain disorder,"['knee pain', 'back pain', 'low back pain', 'sharp abdominal pain', 'pelvic pain', 'lower body pain','ache all over', 'headache']"
277,Chronic pain disorder,"['back pain', 'sharp abdominal pain', 'neck pain', 'lower body pain', 'low back pain','pelvic pain', 'knee pain']"
278,Chronic pain disorder,"['lower body pain', 'pelvic pain', 'knee pain', 'sharp abdominal pain','ache all over', 'back pain']"
279,Chronic pain disorder,"['knee pain', 'neck pain', 'leg pain', 'headache', 'ache all over','back pain', 'low back pain']"
280,Chronic pain disorder,"['back pain', 'leg pain', 'hip pain', 'low back pain', 'headache', 'neck pain','ache all over', 'sharp abdominal pain']"
281,Acute stress reaction,"['headache', 'fatigue', 'anxiety and nervousness', 'abnormal involuntary movements','chest tightness', 'insomnia']"
282,Acute stress reaction,"['abnormal involuntary movements', 'sharp chest pain', 'insomnia', 'depressive or psychotic symptoms', 'headache','anxiety and nervousness', 'fatigue']"
284,Acute stress reaction,"['depression', 'abnormal involuntary movements', 'depressive or psychotic symptoms', 'headache','fatigue', 'anxiety and nervousness']"
285,Acute stress reaction,"['abnormal involuntary movements', 'anxiety and nervousness', 'depression', 'chest tightness', 'fatigue', 'depressive or psychotic symptoms','insomnia', 'headache']"
286,Acute stress reaction,"['headache', 'dizziness', 'insomnia', 'shortness of breath', 'anxiety and nervousness', 'depression','sharp chest pain', 'depressive or psychotic symptoms']"
287,Acute stress reaction,"['anxiety and nervousness', 'depressive or psychotic symptoms', 'abnormal involuntary movements', 'depression', 'dizziness', 'shortness of breath','headache', 'burning abdominal pain']"
288,Acute stress reaction,"['burning abdominal pain', 'anxiety and nervousness', 'sharp chest pain', 'shortness of breath', 'abnormal involuntary movements', 'chest tightness','depressive or psychotic symptoms', 'insomnia']"
289,Acute stress reaction,"['anxiety and nervousness', 'dizziness', 'depression', 'chest tightness', 'headache','abnormal involuntary movements', 'fatigue']"
290,Acute stress reaction,"['chest tightness', 'abnormal involuntary movements', 'burning abdominal pain', 'shortness of breath','depressive or psychotic symptoms', 'anxiety and nervousness']"
291,Acute stress reaction,"['burning abdominal pain', 'depression', 'headache', 'insomnia', 'depressive or psychotic symptoms','anxiety and nervousness', 'sharp chest pain']"
293,Acute stress reaction,"['anxiety and nervousness', 'depression', 'abnormal involuntary movements', 'sharp chest pain', 'insomnia', 'depressive or psychotic symptoms','shortness of breath', 'dizziness']"
294,Acute stress reaction,"['abnormal involuntary movements', 'shortness of breath', 'depression', 'insomnia', 'depressive or psychotic symptoms', 'dizziness','anxiety and nervousness', 'fatigue']"
295,Factitious disorder,"['depressive or psychotic symptoms', 'lip swelling', 'disturbance of memory', 'elbow cramps or spasms','nailbiting', 'paresthesia']"
296,Factitious disorder,"['elbow cramps or spasms', 'depressive or psychotic symptoms', 'paresthesia', 'loss of sensation', 'depression','disturbance of memory', 'lip swelling']"
297,Factitious disorder,"['loss of sensation', 'excessive growth', 'depression', 'depressive or psychotic symptoms','lip swelling', 'disturbance of memory']"
298,Factitious disorder,"['elbow cramps or spasms', 'disturbance of memory', 'depression', 'excessive growth', 'lip swelling', 'paresthesia','loss of sensation', 'depressive or psychotic symptoms']"
299,Factitious disorder,"['depressive or psychotic symptoms', 'itchy eyelid', 'paresthesia', 'lip swelling', 'disturbance of memory', 'loss of sensation','wrist weakness', 'depression']"
300,Factitious disorder,"['disturbance of memory', 'depression', 'wrist weakness', 'loss of sensation', 'lip swelling', 'paresthesia','depressive or psychotic symptoms', 'itchy eyelid']"
301,Factitious disorder,"['lip swelling', 'disturbance of memory', 'depressive or psychotic symptoms', 'paresthesia', 'elbow weakness', 'nailbiting','depression', 'loss of sensation']"
302,Factitious disorder,"['disturbance of memory', 'paresthesia', 'loss of sensation', 'nailbiting', 'depressive or psychotic symptoms','elbow weakness', 'lip swelling']"
304,Factitious disorder,"['nailbiting', 'elbow weakness', 'lip swelling', 'paresthesia','depression', 'disturbance of memory']"
305,Factitious disorder,"['wrist weakness', 'loss of sensation', 'lip swelling', 'paresthesia', 'depression','disturbance of memory', 'depressive or psychotic symptoms']"
307,Factitious disorder,"['disturbance of memory', 'depression', 'elbow weakness', 'depressive or psychotic symptoms', 'paresthesia', 'loss of sensation','wrist weakness', 'lip swelling']"
308,Alcohol intoxication,"['depressive or psychotic symptoms', 'fainting', 'abusing alcohol', 'delusions or hallucinations','problems with movement', 'sharp chest pain']"
310,Alcohol intoxication,"['problems with movement', 'depressive or psychotic symptoms', 'sharp chest pain', 'depression', 'vomiting','abusing alcohol', 'abnormal involuntary movements']"
312,Alcohol intoxication,"['depressive or psychotic symptoms', 'delusions or hallucinations', 'depression', 'vomiting','fainting', 'abusing alcohol']"
313,Alcohol intoxication,"['delusions or hallucinations', 'abusing alcohol', 'depression', 'problems with movement', 'abnormal involuntary movements', 'sharp abdominal pain','sharp chest pain', 'depressive or psychotic symptoms']"
314,Alcohol intoxication,"['depression', 'anxiety and nervousness', 'sharp chest pain', 'nausea', 'abusing alcohol', 'sharp abdominal pain','depressive or psychotic symptoms', 'vomiting']"
315,Alcohol intoxication,"['abusing alcohol', 'depression', 'delusions or hallucinations', 'sharp abdominal pain', 'anxiety and nervousness', 'nausea','depressive or psychotic symptoms', 'abnormal involuntary movements']"
316,Alcohol intoxication,"['abnormal involuntary movements', 'abusing alcohol', 'depressive or psychotic symptoms', 'nausea', 'delusions or hallucinations', 'problems with movement','vomiting', 'sharp chest pain']"
317,Alcohol intoxication,"['abusing alcohol', 'anxiety and nervousness', 'sharp chest pain', 'problems with movement', 'depressive or psychotic symptoms','delusions or hallucinations', 'fainting']"
318,Alcohol intoxication,"['problems with movement', 'delusions or hallucinations', 'abnormal involuntary movements', 'nausea','vomiting', 'abusing alcohol']"
319,Alcohol intoxication,"['abnormal involuntary movements', 'sharp abdominal pain', 'anxiety and nervousness', 'sharp chest pain', 'vomiting','abusing alcohol', 'depressive or psychotic symptoms']"
320,Alcohol intoxication,"['abusing alcohol', 'depression', 'problems with movement', 'depressive or psychotic symptoms', 'sharp chest pain', 'sharp abdominal pain','nausea', 'anxiety and nervousness']"
321,Eating disorder,"['anxiety and nervousness', 'excessive anger', 'depression', 'vomiting blood','acne or pimples', 'abusing alcohol']"
322,Eating disorder,"['vomiting blood', 'anxiety and nervousness', 'excessive appetite', 'decreased appetite', 'depressive or psychotic symptoms','depression', 'excessive anger']"
323,Eating disorder,"['anxiety and nervousness', 'insomnia', 'decreased appetite', 'depressive or psychotic symptoms','excessive anger', 'depression']"
324,Eating disorder,"['insomnia', 'depression', 'decreased appetite', 'vomiting blood', 'excessive anger', 'depressive or psychotic symptoms','abusing alcohol', 'anxiety and nervousness']"
325,Eating disorder,"['abusing alcohol', 'weight gain', 'excessive appetite', 'difficulty eating', 'depression', 'decreased appetite','anxiety and nervousness', 'depressive or psychotic symptoms']"
326,Eating disorder,"['depression', 'decreased appetite', 'insomnia', 'depressive or psychotic symptoms', 'weight gain', 'difficulty eating','anxiety and nervousness', 'excessive anger']"
327,Eating disorder,"['excessive anger', 'depression', 'anxiety and nervousness', 'difficulty eating', 'vomiting blood', 'acne or pimples','depressive or psychotic symptoms', 'excessive appetite']"
328,Eating disorder,"['depression', 'excessive appetite', 'abusing alcohol', 'acne or pimples', 'anxiety and nervousness','vomiting blood', 'weight gain']"
329,Eating disorder,"['acne or pimples', 'vomiting blood', 'excessive anger', 'difficulty eating','depressive or psychotic symptoms', 'depression']"
330,Eating disorder,"['insomnia', 'decreased appetite', 'abusing alcohol', 'excessive appetite', 'depressive or psychotic symptoms','depression', 'anxiety and nervousness']"
331,Eating disorder,"['depression', 'decreased appetite', 'vomiting blood', 'anxiety and nervousness', 'abusing alcohol', 'depressive or psychotic symptoms','weight gain', 'difficulty eating']"
332,Anxiety,"['depression', 'palpitations', 'anxiety and nervousness', 'irregular heartbeat','increased heart rate', 'shortness of breath']"
333,Anxiety,"['fears and phobias', 'anxiety and nervousness', 'headache', 'depressive or psychotic symptoms', 'sharp chest pain','depression', 'palpitations']"
334,Anxiety,"['depression', 'irregular heartbeat', 'sharp chest pain', 'depressive or psychotic symptoms','palpitations', 'anxiety and nervousness']"
335,Anxiety,"['abnormal involuntary movements', 'anxiety and nervousness', 'depressive or psychotic symptoms', 'irregular heartbeat', 'palpitations', 'sharp chest pain','shortness of breath', 'depression']"
336,Anxiety,"['depression', 'palpitations', 'shortness of breath', 'insomnia', 'anxiety and nervousness', 'depressive or psychotic symptoms','headache', 'sharp chest pain']"
337,Anxiety,"['anxiety and nervousness', 'sharp chest pain', 'abnormal involuntary movements', 'depressive or psychotic symptoms', 'insomnia', 'headache','depression', 'palpitations']"
339,Anxiety,"['palpitations', 'anxiety and nervousness', 'depression', 'insomnia', 'fears and phobias', 'increased heart rate','sharp chest pain', 'headache']"
340,Anxiety,"['anxiety and nervousness', 'headache', 'shortness of breath', 'increased heart rate', 'depression','fears and phobias', 'palpitations']"
341,Anxiety,"['increased heart rate', 'fears and phobias', 'palpitations', 'insomnia','sharp chest pain', 'anxiety and nervousness']"
342,Anxiety,"['abnormal involuntary movements', 'depressive or psychotic symptoms', 'headache', 'shortness of breath', 'sharp chest pain','anxiety and nervousness', 'depression']"
343,Anxiety,"['anxiety and nervousness', 'depressive or psychotic symptoms', 'fears and phobias', 'depression', 'shortness of breath', 'sharp chest pain','headache', 'insomnia']"
344,Dissociative disorder,"['anxiety and nervousness', 'disturbance of memory', 'depressive or psychotic symptoms', 'delusions or hallucinations','elbow cramps or spasms', 'low self-esteem']"
346,Dissociative disorder,"['delusions or hallucinations', 'depressive or psychotic symptoms', 'excessive anger', 'depression', 'low self-esteem','anxiety and nervousness', 'disturbance of memory']"
347,Dissociative disorder,"['low self-esteem', 'delusions or hallucinations', 'depression', 'anxiety and nervousness','disturbance of memory', 'depressive or psychotic symptoms']"
348,Dissociative disorder,"['disturbance of memory', 'depressive or psychotic symptoms', 'depression', 'delusions or hallucinations', 'excessive anger', 'low self-esteem','anxiety and nervousness', 'muscle swelling']"
349,Dissociative disorder,"['low self-esteem', 'back weakness', 'depressive or psychotic symptoms', 'excessive anger', 'disturbance of memory', 'depression','delusions or hallucinations', 'anxiety and nervousness']"
350,Dissociative disorder,"['excessive anger', 'anxiety and nervousness', 'delusions or hallucinations', 'depression', 'pus in urine', 'low self-esteem','depressive or psychotic symptoms', 'disturbance of memory']"
351,Dissociative disorder,"['disturbance of memory', 'depressive or psychotic symptoms', 'depression', 'excessive anger', 'low back weakness', 'elbow cramps or spasms','anxiety and nervousness', 'low self-esteem']"
352,Dissociative disorder,"['depressive or psychotic symptoms', 'low self-esteem', 'depression', 'muscle swelling', 'anxiety and nervousness','pus in urine', 'excessive anger']"
353,Dissociative disorder,"['elbow cramps or spasms', 'low back weakness', 'disturbance of memory', 'excessive anger','anxiety and nervousness', 'depressive or psychotic symptoms']"
354,Dissociative disorder,"['delusions or hallucinations', 'depression', 'disturbance of memory', 'excessive anger', 'low self-esteem','depressive or psychotic symptoms', 'anxiety and nervousness']"
355,Dissociative disorder,"['depressive or psychotic symptoms', 'depression', 'back weakness', 'anxiety and nervousness', 'low self-esteem', 'excessive anger','delusions or hallucinations', 'disturbance of memory']"
356,Drug abuse cocaine,"['abusing alcohol', 'hostile behavior', 'drug abuse', 'excessive anger','nightmares', 'depression']"
357,Drug abuse cocaine,"['excessive anger', 'drug abuse', 'sharp chest pain', 'depressive or psychotic symptoms', 'depression','abusing alcohol', 'delusions or hallucinations']"
358,Drug abuse cocaine,"['depression', 'hostile behavior', 'depressive or psychotic symptoms', 'abusing alcohol','delusions or hallucinations', 'drug abuse']"
359,Drug abuse cocaine,"['excessive anger', 'drug abuse', 'depressive or psychotic symptoms', 'hostile behavior', 'delusions or hallucinations', 'abusing alcohol','depression', 'sharp chest pain']"
361,Drug abuse cocaine,"['depression', 'excessive anger', 'drug abuse', 'sharp chest pain', 'delusions or hallucinations', 'depressive or psychotic symptoms','hostile behavior', 'abusing alcohol']"
362,Drug abuse cocaine,"['excessive anger', 'depressive or psychotic symptoms', 'abusing alcohol', 'depression', 'delusions or hallucinations','drug abuse', 'sharp chest pain']"
363,Drug abuse cocaine,"['abusing alcohol', 'delusions or hallucinations', 'drug abuse', 'hostile behavior', 'depressive or psychotic symptoms','sharp chest pain', 'depression']"
364,Drug abuse cocaine,"['depressive or psychotic symptoms', 'abusing alcohol', 'depression', 'sharp chest pain','drug abuse', 'delusions or hallucinations']"
365,Drug abuse cocaine,"['nightmares', 'hysterical behavior', 'delusions or hallucinations', 'sharp chest pain','abusing alcohol', 'drug abuse']"
366,Drug abuse cocaine,"['abusing alcohol', 'drug abuse', 'delusions or hallucinations', 'sharp chest pain','depression', 'depressive or psychotic symptoms']"
368,Drug abuse cocaine,"['drug abuse', 'depressive or psychotic symptoms', 'fears and phobias', 'abusing alcohol', 'depression', 'sharp chest pain','hostile behavior', 'delusions or hallucinations']"
370,Adjustment reaction,"['depressive or psychotic symptoms', 'delusions or hallucinations', 'depression', 'fears and phobias','restlessness', 'excessive anger']"
371,Adjustment reaction,"['restlessness', 'depressive or psychotic symptoms', 'insomnia', 'anxiety and nervousness', 'excessive anger','depression', 'delusions or hallucinations']"
372,Adjustment reaction,"['excessive anger', 'fears and phobias', 'anxiety and nervousness', 'depressive or psychotic symptoms','delusions or hallucinations', 'depression']"
373,Adjustment reaction,"['temper problems', 'depression', 'anxiety and nervousness', 'fears and phobias', 'low self-esteem', 'depressive or psychotic symptoms','excessive anger', 'hostile behavior']"
374,Adjustment reaction,"['excessive anger', 'delusions or hallucinations', 'hostile behavior', 'insomnia', 'depression', 'anxiety and nervousness','low self-esteem', 'depressive or psychotic symptoms']"
375,Adjustment reaction,"['excessive anger', 'anxiety and nervousness', 'temper problems', 'depressive or psychotic symptoms', 'low self-esteem', 'hostile behavior','depression', 'fears and phobias']"
377,Adjustment reaction,"['delusions or hallucinations', 'depression', 'anxiety and nervousness', 'insomnia', 'nightmares', 'restlessness','depressive or psychotic symptoms', 'low self-esteem']"
378,Adjustment reaction,"['depression', 'hostile behavior', 'excessive anger', 'restlessness', 'depressive or psychotic symptoms','nightmares', 'low self-esteem']"
379,Adjustment reaction,"['restlessness', 'nightmares', 'delusions or hallucinations', 'insomnia','depressive or psychotic symptoms', 'depression']"
380,Adjustment reaction,"['temper problems', 'anxiety and nervousness', 'insomnia', 'hostile behavior', 'excessive anger','depression', 'depressive or psychotic symptoms']"
381,Adjustment reaction,"['depression', 'anxiety and nervousness', 'restlessness', 'depressive or psychotic symptoms', 'excessive anger', 'insomnia','hostile behavior', 'low self-esteem']"
382,Cerebral edema,"['neck pain', 'dizziness', 'headache', 'muscle stiffness or tightness','arm pain', 'loss of sensation']"
383,Cerebral edema,"['arm pain', 'neck pain', 'difficulty speaking', 'vomiting', 'focal weakness','headache', 'dizziness']"
384,Cerebral edema,"['vomiting', 'muscle stiffness or tightness', 'diminished vision', 'focal weakness','dizziness', 'headache']"
386,Cerebral edema,"['muscle stiffness or tightness', 'headache', 'vomiting', 'arm pain', 'dizziness', 'diminished vision','difficulty speaking', 'focal weakness']"
387,Cerebral edema,"['focal weakness', 'difficulty speaking', 'loss of sensation', 'nausea', 'headache', 'vomiting','neck pain', 'diminished vision']"
388,Cerebral edema,"['headache', 'diminished vision', 'muscle stiffness or tightness', 'difficulty speaking', 'loss of sensation', 'nausea','focal weakness', 'dizziness']"
389,Cerebral edema,"['dizziness', 'headache', 'neck pain', 'nausea', 'muscle stiffness or tightness', 'arm pain','diminished vision', 'difficulty speaking']"
390,Cerebral edema,"['headache', 'loss of sensation', 'difficulty speaking', 'arm pain', 'neck pain','muscle stiffness or tightness', 'dizziness']"
391,Cerebral edema,"['arm pain', 'muscle stiffness or tightness', 'dizziness', 'nausea','diminished vision', 'headache']"
392,Cerebral edema,"['dizziness', 'vomiting', 'focal weakness', 'difficulty speaking', 'diminished vision','headache', 'neck pain']"
393,Cerebral edema,"['headache', 'vomiting', 'muscle stiffness or tightness', 'neck pain', 'loss of sensation', 'diminished vision','nausea', 'difficulty speaking']"
394,Degenerative disc disease,"['low back pain', 'arm pain', 'back pain', 'paresthesia','joint pain', 'hip pain']"
395,Degenerative disc disease,"['paresthesia', 'low back pain', 'shoulder pain', 'neck pain', 'leg pain','back pain', 'arm pain']"
396,Degenerative disc disease,"['neck pain', 'lower body pain', 'leg pain', 'low back pain','arm pain', 'back pain']"
397,Degenerative disc disease,"['lower body pain', 'back pain', 'neck pain', 'paresthesia', 'arm pain', 'leg pain','hip pain', 'low back pain']"
398,Degenerative disc disease,"['hip pain', 'loss of sensation', 'low back pain', 'ache all over', 'back pain', 'neck pain','shoulder pain', 'leg pain']"
399,Degenerative disc disease,"['back pain', 'neck pain', 'lower body pain', 'leg pain', 'loss of sensation', 'ache all over','low back pain', 'arm pain']"
400,Degenerative disc disease,"['arm pain', 'back pain', 'low back pain', 'ache all over', 'paresthesia', 'joint pain','leg pain', 'shoulder pain']"
401,Degenerative disc disease,"['back pain', 'shoulder pain', 'hip pain', 'paresthesia', 'low back pain','joint pain', 'loss of sensation']"
402,Degenerative disc disease,"['joint pain', 'paresthesia', 'arm pain', 'ache all over','leg pain', 'back pain']"
403,Degenerative disc disease,"['arm pain', 'neck pain', 'hip pain', 'shoulder pain', 'leg pain','back pain', 'low back pain']"
404,Degenerative disc disease,"['back pain', 'neck pain', 'paresthesia', 'low back pain', 'hip pain', 'leg pain','loss of sensation', 'ache all over']"
406,Guillain Barre syndrome,"['leg weakness', 'weakness', 'leg pain', 'problems with movement','facial pain', 'dizziness']"
407,Guillain Barre syndrome,"['facial pain', 'leg pain', 'dizziness', 'ache all over', 'loss of sensation','leg weakness', 'weakness']"
408,Guillain Barre syndrome,"['fever', 'problems with movement', 'ache all over', 'loss of sensation','weakness', 'leg weakness']"
410,Guillain Barre syndrome,"['problems with movement', 'leg weakness', 'ache all over', 'facial pain', 'weakness', 'fever','dizziness', 'loss of sensation']"
411,Guillain Barre syndrome,"['dizziness', 'loss of sensation', 'paresthesia', 'hand or finger pain', 'leg weakness', 'ache all over','leg pain', 'fever']"
412,Guillain Barre syndrome,"['leg weakness', 'ache all over', 'problems with movement', 'dizziness', 'paresthesia', 'hand or finger pain','loss of sensation', 'difficulty speaking']"
413,Guillain Barre syndrome,"['weakness', 'leg weakness', 'leg pain', 'paresthesia', 'problems with movement', 'facial pain','fever', 'dizziness']"
414,Guillain Barre syndrome,"['leg weakness', 'paresthesia', 'ache all over', 'facial pain', 'loss of sensation','problems with movement', 'weakness']"
416,Guillain Barre syndrome,"['facial pain', 'problems with movement', 'weakness', 'paresthesia','fever', 'leg weakness']"
417,Guillain Barre syndrome,"['difficulty speaking', 'ache all over', 'loss of sensation', 'dizziness', 'fever','leg weakness', 'leg pain']"
418,Guillain Barre syndrome,"['leg pain', 'ache all over', 'problems with movement', 'leg weakness', 'dizziness', 'fever','hand or finger pain', 'paresthesia']"
419,Complex regional pain syndrome,"['leg pain', 'low back pain', 'loss of sensation', 'abnormal involuntary movements','problems with movement', 'arm pain']"
420,Complex regional pain syndrome,"['problems with movement', 'leg pain', 'ache all over', 'back pain', 'foot or toe pain','loss of sensation', 'neck pain']"
421,Complex regional pain syndrome,"['paresthesia', 'abnormal involuntary movements', 'back pain', 'foot or toe pain','low back pain', 'loss of sensation']"
422,Complex regional pain syndrome,"['abnormal involuntary movements', 'loss of sensation', 'back pain', 'problems with movement', 'neck pain', 'paresthesia','ache all over', 'foot or toe pain']"
423,Complex regional pain syndrome,"['ache all over', 'foot or toe pain', 'arm pain', 'hand or finger pain', 'loss of sensation', 'back pain','leg pain', 'paresthesia']"
425,Complex regional pain syndrome,"['loss of sensation', 'back pain', 'abnormal involuntary movements', 'ache all over', 'arm pain', 'hand or finger pain','foot or toe pain', 'neck pain']"
426,Complex regional pain syndrome,"['neck pain', 'loss of sensation', 'leg pain', 'hand or finger pain', 'abnormal involuntary movements', 'problems with movement','paresthesia', 'ache all over']"
427,Complex regional pain syndrome,"['loss of sensation', 'arm pain', 'back pain', 'problems with movement', 'foot or toe pain','abnormal involuntary movements', 'neck pain']"
